Date	Target	AI
20210101	20.0	18.0
20210102	8.0	12.0
20210103	13.0	12.0
20210104	22.0	23.0
20210105	17.0	27.0
20210106	14.0	15.0
20210107	11.0	12.0
20210108	11.0	12.0
20210109	17.0	14.0
20210110	26.0	23.0
20210111	34.0	31.0
20210112	46.0	45.0
20210113	51.0	48.0
20210114	31.0	29.0
20210115	28.0	22.0
20210116	46.0	46.0
20210117	14.0	13.0
20210118	25.0	17.0
20210119	14.0	11.0
20210120	22.0	27.0
20210121	29.0	28.0
20210122	40.0	28.0
20210123	7.0	15.0
20210124	9.0	8.0
20210125	14.0	19.0
20210126	26.0	26.0
20210127	17.0	29.0
20210128	20.0	19.0
20210129	9.0	11.0
20210130	17.0	17.0
20210131	28.0	35.0
20210201	24.0	21.0
20210202	17.0	15.0
20210203	20.0	16.0
20210204	12.0	21.0
20210205	18.0	22.0
20210206	20.0	19.0
20210207	79.0	67.0
20210208	17.0	21.0
20210209	18.0	19.0
20210210	23.0	27.0
20210211	46.0	38.0
20210212	61.0	61.0
20210213	75.0	70.0
20210214	58.0	58.0
20210215	35.0	74.0
20210216	13.0	16.0
20210217	10.0	12.0
20210218	12.0	14.0
20210219	22.0	23.0
20210220	55.0	33.0
20210221	55.0	50.0
20210222	31.0	29.0
20210223	14.0	12.0
20210224	22.0	17.0
20210225	32.0	31.0
20210226	25.0	35.0
20210227	9.0	10.0
20210228	11.0	10.0
20210301	10.0	19.0
20210302	3.0	10.0
20210303	21.0	24.0
20210304	32.0	33.0
20210305	32.0	25.0
20210306	26.0	28.0
20210307	8.0	8.0
20210308	30.0	29.0
20210309	32.0	31.0
20210310	58.0	53.0
20210311	107.0	83.0
20210312	72.0	60.0
20210313	37.0	24.0
20210314	67.0	58.0
20210315	74.0	65.0
20210316	13.0	17.0
20210317	17.0	14.0
20210318	30.0	23.0
20210319	19.0	39.0
20210320	9.0	9.0
20210321	45.0	37.0
20210322	13.0	18.0
20210323	34.0	26.0
20210324	35.0	35.0
20210325	26.0	19.0
20210326	87.0	69.0
20210327	41.0	56.0
20210328	10.0	9.0
20210329	72.0	51.0
20210330	31.0	39.0
20210331	21.0	21.0
