Date	Target	AI
20210101	8.0	27.0
20210102	13.0	21.0
20210103	22.0	23.0
20210104	17.0	30.0
20210105	14.0	27.0
20210106	11.0	25.0
20210107	11.0	22.0
20210108	17.0	24.0
20210109	26.0	25.0
20210110	34.0	30.0
20210111	46.0	33.0
20210112	51.0	38.0
20210113	31.0	35.0
20210114	28.0	29.0
20210115	46.0	29.0
20210116	14.0	31.0
20210117	25.0	25.0
20210118	14.0	26.0
20210119	22.0	23.0
20210120	29.0	32.0
20210121	40.0	32.0
20210122	7.0	31.0
20210123	9.0	23.0
20210124	14.0	18.0
20210125	26.0	31.0
20210126	17.0	32.0
20210127	20.0	27.0
20210128	9.0	25.0
20210129	17.0	21.0
20210130	28.0	22.0
20210131	24.0	33.0
20210201	17.0	26.0
20210202	20.0	20.0
20210203	12.0	22.0
20210204	18.0	23.0
20210205	20.0	27.0
20210206	79.0	22.0
20210207	17.0	30.0
20210208	18.0	21.0
20210209	23.0	23.0
20210210	46.0	26.0
20210211	61.0	25.0
20210212	75.0	34.0
20210213	58.0	37.0
20210214	35.0	33.0
20210215	13.0	31.0
20210216	10.0	18.0
20210217	12.0	17.0
20210218	22.0	19.0
20210219	55.0	23.0
20210220	55.0	24.0
20210221	31.0	33.0
20210222	14.0	25.0
20210223	22.0	19.0
20210224	32.0	22.0
20210225	25.0	32.0
20210226	9.0	32.0
20210227	11.0	19.0
20210228	10.0	20.0
20210301	3.0	24.0
20210302	21.0	22.0
20210303	32.0	34.0
20210304	32.0	37.0
20210305	26.0	35.0
20210306	8.0	34.0
20210307	30.0	22.0
20210308	32.0	35.0
20210309	58.0	37.0
20210310	107.0	42.0
20210311	72.0	52.0
20210312	37.0	43.0
20210313	67.0	32.0
20210314	74.0	42.0
20210315	13.0	44.0
20210316	17.0	31.0
20210317	30.0	28.0
20210318	19.0	37.0
20210319	9.0	38.0
20210320	45.0	22.0
20210321	13.0	33.0
20210322	34.0	29.0
20210323	35.0	35.0
20210324	26.0	36.0
20210325	87.0	31.0
20210326	41.0	43.0
20210327	10.0	46.0
20210328	72.0	22.0
20210329	31.0	34.0
20210330	21.0	31.0
20210331	13.0	32.0
