Date	Target	AI
20210101	13.0	28.0
20210102	12.0	25.0
20210103	22.0	26.0
20210104	8.0	30.0
20210105	13.0	29.0
20210106	10.0	27.0
20210107	9.0	25.0
20210108	15.0	27.0
20210109	23.0	28.0
20210110	34.0	31.0
20210111	50.0	32.0
20210112	42.0	34.0
20210113	25.0	34.0
20210114	40.0	31.0
20210115	30.0	32.0
20210116	12.0	31.0
20210117	22.0	27.0
20210118	18.0	28.0
20210119	25.0	25.0
20210120	34.0	32.0
20210121	29.0	32.0
20210122	5.0	31.0
20210123	8.0	27.0
20210124	13.0	23.0
20210125	34.0	30.0
20210126	10.0	31.0
20210127	17.0	28.0
20210128	10.0	27.0
20210129	30.0	22.0
20210130	23.0	25.0
20210131	53.0	30.0
20210201	15.0	28.0
20210202	19.0	22.0
20210203	10.0	24.0
20210204	17.0	24.0
20210205	64.0	27.0
20210206	35.0	24.0
20210207	10.0	28.0
20210208	11.0	22.0
20210209	25.0	23.0
20210210	54.0	26.0
20210211	59.0	25.0
20210212	67.0	30.0
20210213	70.0	31.0
20210214	12.0	30.0
20210215	13.0	28.0
20210216	11.0	20.0
20210217	15.0	19.0
20210218	26.0	20.0
20210219	39.0	24.0
20210220	36.0	24.0
20210221	41.0	30.0
20210222	14.0	25.0
20210223	20.0	21.0
20210224	33.0	24.0
20210225	10.0	29.0
20210226	8.0	30.0
20210227	13.0	22.0
20210228	4.0	23.0
20210301	6.0	26.0
20210302	25.0	24.0
20210303	23.0	30.0
20210304	19.0	33.0
20210305	13.0	32.0
20210306	18.0	31.0
20210307	28.0	25.0
20210308	31.0	31.0
20210309	59.0	33.0
20210310	82.0	35.0
20210311	37.0	41.0
20210312	37.0	36.0
20210313	59.0	31.0
20210314	64.0	36.0
20210315	16.0	37.0
20210316	18.0	30.0
20210317	47.0	30.0
20210318	17.0	34.0
20210319	10.0	35.0
20210320	18.0	26.0
20210321	13.0	31.0
20210322	34.0	28.0
20210323	23.0	32.0
20210324	44.0	33.0
20210325	55.0	30.0
20210326	24.0	35.0
20210327	17.0	38.0
20210328	24.0	25.0
20210329	15.0	33.0
20210330	15.0	32.0
20210331	11.0	31.0
