Date	Target	AI
20210101	14.0	31.0
20210102	17.0	28.0
20210103	25.0	29.0
20210104	8.0	32.0
20210105	15.0	30.0
20210106	10.0	30.0
20210107	10.0	28.0
20210108	13.0	30.0
20210109	20.0	31.0
20210110	33.0	33.0
20210111	52.0	33.0
20210112	42.0	35.0
20210113	29.0	33.0
20210114	41.0	31.0
20210115	13.0	32.0
20210116	13.0	31.0
20210117	11.0	29.0
20210118	21.0	29.0
20210119	32.0	28.0
20210120	29.0	33.0
20210121	27.0	32.0
20210122	5.0	30.0
20210123	15.0	27.0
20210124	24.0	24.0
20210125	28.0	30.0
20210126	14.0	30.0
20210127	9.0	28.0
20210128	11.0	28.0
20210129	32.0	25.0
20210130	26.0	27.0
20210131	51.0	31.0
20210201	16.0	27.0
20210202	21.0	25.0
20210203	12.0	26.0
20210204	14.0	25.0
20210205	72.0	28.0
20210206	17.0	24.0
20210207	12.0	28.0
20210208	12.0	24.0
20210209	26.0	25.0
20210210	64.0	26.0
20210211	76.0	25.0
20210212	66.0	29.0
20210213	94.0	31.0
20210214	12.0	29.0
20210215	11.0	27.0
20210216	12.0	22.0
20210217	16.0	22.0
20210218	27.0	23.0
20210219	30.0	26.0
20210220	29.0	25.0
20210221	11.0	29.0
20210222	18.0	25.0
20210223	23.0	24.0
20210224	36.0	26.0
20210225	14.0	30.0
20210226	11.0	31.0
20210227	19.0	25.0
20210228	3.0	25.0
20210301	12.0	27.0
20210302	29.0	26.0
20210303	21.0	32.0
20210304	17.0	34.0
20210305	8.0	32.0
20210306	23.0	31.0
20210307	23.0	28.0
20210308	33.0	33.0
20210309	100.0	34.0
20210310	66.0	36.0
20210311	20.0	42.0
20210312	39.0	37.0
20210313	50.0	33.0
20210314	40.0	37.0
20210315	16.0	38.0
20210316	22.0	32.0
20210317	66.0	32.0
20210318	29.0	35.0
20210319	22.0	36.0
20210320	22.0	29.0
20210321	19.0	33.0
20210322	26.0	31.0
20210323	11.0	34.0
20210324	46.0	35.0
20210325	64.0	32.0
20210326	15.0	37.0
20210327	22.0	39.0
20210328	38.0	27.0
20210329	17.0	34.0
20210330	17.0	33.0
20210331	13.0	32.0
