Date	Target	AI
20210101	17.0	32.0
20210102	25.0	31.0
20210103	8.0	32.0
20210104	15.0	33.0
20210105	10.0	31.0
20210106	10.0	32.0
20210107	13.0	31.0
20210108	20.0	33.0
20210109	33.0	33.0
20210110	52.0	33.0
20210111	42.0	33.0
20210112	29.0	34.0
20210113	41.0	32.0
20210114	13.0	31.0
20210115	13.0	32.0
20210116	11.0	31.0
20210117	21.0	31.0
20210118	32.0	29.0
20210119	29.0	31.0
20210120	27.0	33.0
20210121	5.0	32.0
20210122	15.0	29.0
20210123	24.0	27.0
20210124	28.0	26.0
20210125	14.0	29.0
20210126	9.0	29.0
20210127	11.0	28.0
20210128	32.0	29.0
20210129	26.0	29.0
20210130	51.0	29.0
20210131	16.0	30.0
20210201	21.0	27.0
20210202	12.0	28.0
20210203	14.0	29.0
20210204	72.0	27.0
20210205	17.0	29.0
20210206	12.0	25.0
20210207	12.0	27.0
20210208	26.0	27.0
20210209	64.0	28.0
20210210	76.0	27.0
20210211	66.0	26.0
20210212	94.0	29.0
20210213	12.0	30.0
20210214	11.0	29.0
20210215	12.0	27.0
20210216	16.0	25.0
20210217	27.0	26.0
20210218	30.0	27.0
20210219	29.0	28.0
20210220	11.0	25.0
20210221	18.0	28.0
20210222	23.0	26.0
20210223	36.0	28.0
20210224	14.0	29.0
20210225	11.0	31.0
20210226	19.0	31.0
20210227	3.0	27.0
20210228	12.0	27.0
20210301	29.0	29.0
20210302	21.0	27.0
20210303	17.0	31.0
20210304	8.0	33.0
20210305	23.0	31.0
20210306	23.0	31.0
20210307	33.0	30.0
20210308	100.0	32.0
20210309	66.0	33.0
20210310	20.0	34.0
20210311	39.0	38.0
20210312	50.0	35.0
20210313	40.0	33.0
20210314	16.0	35.0
20210315	22.0	35.0
20210316	66.0	31.0
20210317	29.0	33.0
20210318	22.0	35.0
20210319	22.0	34.0
20210320	19.0	30.0
20210321	26.0	32.0
20210322	11.0	32.0
20210323	46.0	33.0
20210324	64.0	33.0
20210325	15.0	31.0
20210326	22.0	34.0
20210327	38.0	36.0
20210328	17.0	26.0
20210329	17.0	32.0
20210330	13.0	33.0
20210331	20.0	32.0
