Date	Target	AI
20210101	18.0	19.0
20210102	14.0	14.0
20210103	17.0	15.0
20210104	25.0	27.0
20210105	8.0	15.0
20210106	15.0	15.0
20210107	10.0	11.0
20210108	10.0	13.0
20210109	13.0	16.0
20210110	20.0	20.0
20210111	33.0	23.0
20210112	52.0	42.0
20210113	42.0	59.0
20210114	29.0	26.0
20210115	41.0	31.0
20210116	13.0	19.0
20210117	13.0	18.0
20210118	11.0	11.0
20210119	21.0	19.0
20210120	32.0	37.0
20210121	29.0	20.0
20210122	27.0	42.0
20210123	5.0	22.0
20210124	15.0	25.0
20210125	24.0	30.0
20210126	28.0	43.0
20210127	14.0	23.0
20210128	9.0	12.0
20210129	11.0	14.0
20210130	32.0	23.0
20210131	26.0	30.0
20210201	51.0	23.0
20210202	16.0	13.0
20210203	21.0	20.0
20210204	12.0	24.0
20210205	14.0	39.0
20210206	72.0	47.0
20210207	17.0	21.0
20210208	12.0	13.0
20210209	12.0	25.0
20210210	26.0	50.0
20210211	64.0	50.0
20210212	76.0	61.0
20210213	66.0	62.0
20210214	94.0	48.0
20210215	12.0	26.0
20210216	11.0	9.0
20210217	12.0	9.0
20210218	16.0	17.0
20210219	27.0	32.0
20210220	30.0	52.0
20210221	29.0	42.0
20210222	11.0	17.0
20210223	18.0	12.0
20210224	23.0	21.0
20210225	36.0	34.0
20210226	14.0	34.0
20210227	11.0	19.0
20210228	19.0	20.0
20210301	3.0	8.0
20210302	12.0	28.0
20210303	29.0	35.0
20210304	21.0	36.0
20210305	17.0	39.0
20210306	8.0	22.0
20210307	23.0	28.0
20210308	23.0	35.0
20210309	33.0	42.0
20210310	100.0	57.0
20210311	66.0	68.0
20210312	20.0	43.0
20210313	39.0	36.0
20210314	50.0	48.0
20210315	40.0	46.0
20210316	16.0	23.0
20210317	22.0	25.0
20210318	66.0	31.0
20210319	29.0	30.0
20210320	22.0	17.0
20210321	22.0	24.0
20210322	19.0	29.0
20210323	26.0	30.0
20210324	11.0	34.0
20210325	46.0	43.0
20210326	64.0	59.0
20210327	15.0	11.0
20210328	22.0	20.0
20210329	38.0	16.0
20210330	17.0	13.0
20210331	17.0	32.0
