Date	Target	AI
20210101	13.0	23.0
20210102	22.0	23.0
20210103	17.0	24.0
20210104	14.0	17.0
20210105	11.0	11.0
20210106	11.0	11.0
20210107	17.0	17.0
20210108	26.0	32.0
20210109	34.0	41.0
20210110	46.0	37.0
20210111	51.0	51.0
20210112	31.0	40.0
20210113	28.0	52.0
20210114	46.0	20.0
20210115	14.0	19.0
20210116	25.0	32.0
20210117	14.0	18.0
20210118	22.0	33.0
20210119	29.0	51.0
20210120	40.0	36.0
20210121	7.0	13.0
20210122	9.0	29.0
20210123	14.0	41.0
20210124	26.0	30.0
20210125	17.0	18.0
20210126	20.0	20.0
20210127	9.0	8.0
20210128	17.0	27.0
20210129	28.0	39.0
20210130	24.0	46.0
20210131	17.0	10.0
20210201	20.0	17.0
20210202	12.0	10.0
20210203	18.0	50.0
20210204	20.0	54.0
20210205	79.0	34.0
20210206	17.0	12.0
20210207	18.0	31.0
20210208	23.0	46.0
20210209	46.0	52.0
20210210	61.0	46.0
20210211	75.0	42.0
20210212	58.0	44.0
20210213	35.0	27.0
20210214	13.0	10.0
20210215	10.0	9.0
20210216	12.0	19.0
20210217	22.0	32.0
20210218	55.0	42.0
20210219	55.0	33.0
20210220	31.0	34.0
20210221	14.0	15.0
20210222	22.0	24.0
20210223	32.0	31.0
20210224	25.0	29.0
20210225	9.0	31.0
20210226	11.0	38.0
20210227	10.0	13.0
20210228	3.0	8.0
20210301	21.0	13.0
20210302	32.0	34.0
20210303	32.0	54.0
20210304	26.0	20.0
20210305	8.0	26.0
20210306	30.0	41.0
20210307	32.0	42.0
20210308	58.0	51.0
20210309	107.0	56.0
20210310	72.0	56.0
20210311	37.0	40.0
20210312	67.0	47.0
20210313	74.0	41.0
20210314	13.0	29.0
20210315	17.0	51.0
20210316	30.0	40.0
20210317	19.0	33.0
20210318	9.0	34.0
20210319	45.0	22.0
20210320	13.0	13.0
20210321	34.0	45.0
20210322	35.0	51.0
20210323	26.0	54.0
20210324	87.0	52.0
20210325	41.0	38.0
20210326	10.0	35.0
20210327	72.0	24.0
20210328	31.0	34.0
20210329	21.0	40.0
20210330	13.0	37.0
20210331	10.0	25.0
