COUNT	LR	STEP	EPOCH	OFFSET	LEAN_COST	VALI_COST	MIN_COST
0	0.090000	33	0	18.0000	0.7209	0.0308	0.0308
0	0.090000	195	5	12.0000	0.7209	0.0308	0.0308
0	0.090000	357	10	6.0000	0.7209	0.0308	0.0308
0	0.090000	519	15	0.0000	0.7209	0.0308	0.0308
0	0.090000	682	20	26.0000	0.7209	0.0308	0.0308
0	0.090000	844	25	20.0000	0.7209	0.0308	0.0308
0	0.090000	1006	30	14.0000	0.7209	0.0308	0.0308
0	0.090000	1168	35	8.0000	0.7209	0.0308	0.0308
0	0.090000	1330	40	2.0000	0.7209	0.0308	0.0308
0	0.090000	1493	45	28.0000	0.7209	0.0308	0.0308
0	0.090000	1655	50	22.0000	0.7209	0.0308	0.0308
0	0.090000	1817	55	16.0000	0.7209	0.0308	0.0308
0	0.090000	1979	60	10.0000	0.7209	0.0308	0.0308
0	0.090000	2141	65	4.0000	0.7209	0.0308	0.0308
0	0.090000	2304	70	30.0000	0.7209	0.0308	0.0308
0	0.090000	2466	75	24.0000	0.7209	0.0308	0.0308
0	0.090000	2628	80	18.0000	0.7208	0.0308	0.0308
0	0.090000	2790	85	12.0000	0.7208	0.0308	0.0308
0	0.090000	2952	90	6.0000	0.7208	0.0308	0.0308
0	0.090000	3114	95	0.0000	0.7208	0.0308	0.0308
0	0.090000	3277	100	26.0000	0.7208	0.0308	0.0308
0	0.090000	3439	105	20.0000	0.7208	0.0308	0.0308
0	0.090000	3601	110	14.0000	0.7208	0.0308	0.0308
0	0.090000	3763	115	8.0000	0.7208	0.0308	0.0308
0	0.090000	3925	120	2.0000	0.7208	0.0308	0.0308
0	0.090000	4088	125	28.0000	0.7208	0.0308	0.0308
0	0.090000	4250	130	22.0000	0.7208	0.0308	0.0308
0	0.090000	4412	135	16.0000	0.7208	0.0308	0.0308
0	0.090000	4574	140	10.0000	0.7208	0.0308	0.0308
0	0.090000	4736	145	4.0000	0.7208	0.0308	0.0308
0	0.090000	4899	150	30.0000	0.7208	0.0308	0.0308
0	0.090000	5061	155	24.0000	0.7208	0.0308	0.0308
0	0.090000	5223	160	18.0000	0.7208	0.0308	0.0308
0	0.090000	5385	165	12.0000	0.7208	0.0308	0.0308
0	0.090000	5547	170	6.0000	0.7208	0.0308	0.0308
0	0.090000	5709	175	0.0000	0.7208	0.0308	0.0308
0	0.090000	5872	180	26.0000	0.7208	0.0308	0.0308
0	0.090000	6034	185	20.0000	0.7208	0.0308	0.0308
0	0.090000	6196	190	14.0000	0.7208	0.0308	0.0308
0	0.090000	6358	195	8.0000	0.7208	0.0308	0.0308
0	0.090000	6520	200	2.0000	0.7208	0.0308	0.0308
0	0.090000	6683	205	28.0000	0.7208	0.0308	0.0308
0	0.090000	6845	210	22.0000	0.7208	0.0308	0.0308
0	0.090000	7007	215	16.0000	0.7208	0.0308	0.0308
0	0.090000	7169	220	10.0000	0.7208	0.0308	0.0308
0	0.090000	7331	225	4.0000	0.7208	0.0308	0.0308
0	0.090000	7494	230	30.0000	0.7208	0.0308	0.0308
0	0.090000	7656	235	24.0000	0.7207	0.0308	0.0308
0	0.090000	7818	240	18.0000	0.7207	0.0308	0.0308
0	0.090000	7980	245	12.0000	0.7207	0.0308	0.0308
0	0.090000	8142	250	6.0000	0.7207	0.0308	0.0308
0	0.090000	8304	255	0.0000	0.7207	0.0308	0.0308
0	0.090000	8467	260	26.0000	0.7207	0.0308	0.0308
0	0.090000	8629	265	20.0000	0.7207	0.0308	0.0308
0	0.090000	8791	270	14.0000	0.7207	0.0308	0.0308
0	0.090000	8953	275	8.0000	0.7207	0.0308	0.0308
0	0.090000	9115	280	2.0000	0.7207	0.0308	0.0308
0	0.090000	9278	285	28.0000	0.7207	0.0308	0.0308
0	0.090000	9440	290	22.0000	0.7207	0.0308	0.0308
0	0.090000	9602	295	16.0000	0.7207	0.0308	0.0308
0	0.090000	9764	300	10.0000	0.7207	0.0308	0.0308
0	0.090000	9926	305	4.0000	0.7207	0.0308	0.0308
0	0.090000	10089	310	30.0000	0.7207	0.0308	0.0308
0	0.090000	10251	315	24.0000	0.7207	0.0308	0.0308
0	0.090000	10413	320	18.0000	0.7207	0.0308	0.0308
0	0.090000	10575	325	12.0000	0.7207	0.0308	0.0308
0	0.090000	10737	330	6.0000	0.7206	0.0308	0.0308
0	0.090000	10899	335	0.0000	0.7206	0.0308	0.0308
0	0.090000	11062	340	26.0000	0.7206	0.0308	0.0308
0	0.090000	11224	345	20.0000	0.7206	0.0308	0.0308
0	0.090000	11386	350	14.0000	0.7206	0.0308	0.0308
0	0.090000	11548	355	8.0000	0.7206	0.0308	0.0308
0	0.090000	11710	360	2.0000	0.7206	0.0308	0.0308
0	0.090000	11873	365	28.0000	0.7206	0.0308	0.0308
0	0.090000	12035	370	22.0000	0.7206	0.0308	0.0308
0	0.090000	12197	375	16.0000	0.7206	0.0308	0.0308
0	0.090000	12359	380	10.0000	0.7206	0.0308	0.0308
0	0.090000	12521	385	4.0000	0.7205	0.0308	0.0308
0	0.090000	12684	390	30.0000	0.7205	0.0308	0.0308
0	0.090000	12846	395	24.0000	0.7205	0.0308	0.0308
0	0.090000	13008	400	18.0000	0.7205	0.0308	0.0308
0	0.090000	13170	405	12.0000	0.7205	0.0308	0.0308
0	0.090000	13332	410	6.0000	0.7205	0.0308	0.0308
0	0.090000	13494	415	0.0000	0.7205	0.0308	0.0308
0	0.090000	13657	420	26.0000	0.7204	0.0308	0.0308
0	0.090000	13819	425	20.0000	0.7204	0.0308	0.0308
0	0.090000	13981	430	14.0000	0.7204	0.0308	0.0308
0	0.090000	14143	435	8.0000	0.7204	0.0308	0.0308
0	0.090000	14305	440	2.0000	0.7204	0.0308	0.0308
0	0.090000	14468	445	28.0000	0.7203	0.0308	0.0308
0	0.090000	14630	450	22.0000	0.7203	0.0308	0.0308
0	0.090000	14792	455	16.0000	0.7203	0.0308	0.0308
0	0.090000	14954	460	10.0000	0.7202	0.0308	0.0308
0	0.090000	15116	465	4.0000	0.7202	0.0308	0.0308
0	0.090000	15279	470	30.0000	0.7202	0.0308	0.0308
0	0.090000	15441	475	24.0000	0.7201	0.0308	0.0308
0	0.090000	15603	480	18.0000	0.7201	0.0308	0.0308
0	0.090000	15765	485	12.0000	0.7200	0.0308	0.0308
0	0.090000	15927	490	6.0000	0.7200	0.0308	0.0308
0	0.090000	16089	495	0.0000	0.7199	0.0308	0.0308
0	0.090000	16252	500	26.0000	0.7198	0.0308	0.0308
0	0.090000	16414	505	20.0000	0.7197	0.0307	0.0307
